name,latitude,longitude,locality,country_code
Abrolhos Islands,-28.92683,113.97929,City Of Greater Geraldton,au
Cables,-32.01783,115.7512,Town of Mosman Park,au
Cottosloe,-32.00839,115.75145,Town of Cottesloe,au
Gas Bay,-33.97835,114.98651,Prevelly,au
Gnaraloo,-23.76673,113.53999,Shire Of Carnarvon,au
Injidup Carpark,-33.69444,114.99162,Yallingup,au
Jake's Point,-27.73414,114.15068,Kalbarri,au
Lefthanders,-33.87952,114.98259,Gracetown,au
Margaret River,-33.97652,114.98321,Prevelly,au
North Point,-33.85883,114.9855,Gracetown,au
Rottnest Island,-32.01595,115.47573,City Of Cockburn,au
Scarborough,-31.89111,115.75471,City Of Stirling,au
Smiths Beach,-33.65871,115.01672,Yallingup,au
South Point,-33.86409,114.976,Gracetown,au
Supertubes,-33.65644,115.01816,Yallingup,au
The Bluff,-24.0312,113.44102,Shire Of Carnarvon,au
Tombstones,-23.88317,113.48381,Shire Of Carnarvon,au
Trigg Point,-31.87621,115.75144,City Of Stirling,au
Warroora Station,-23.64858,113.61334,Shire Of Carnarvon,au
Yallingup,-33.63854,115.02513,Yallingup,au
Cactus,-32.1404,133.1091,Pastoral Unincorporated Area,au
Middleton,-35.5141,138.7195,Alexandrina Council,au
Pennington Bay,-35.8547,137.7378,Kangaroo Island Council,au
Waitpinga,-35.63433,138.49912,City of Victor Harbor,au
13th Beach,-38.2864,144.4677,Connewarre,au
Bells Beach,-38.36868,144.28282,Surf Coast Shire,au
Cat Bay,-38.50563,145.14353,Bass Coast Shire,au
Express Point,-38.50771,145.26305,Smith's Beach,au
Gunnamatta,-38.44856,144.85924,Melbourne,au
Jan Juc,-38.3472,144.3067,Surf Coast Shire,au
Johanna,-38.7602,143.3735,Johanna,au
Point Leo,-38.42461,145.07075,Point Leo,au
Two Mile/Easter Reef,-38.6249,142.9775,Port Campbell,au
Winkipop,-38.3675,144.28591,Surf Coast Shire,au
Woolamai,-38.3458,144.3155,Torquay,au
Burleigh Heads,-28.09002,153.45767,Gold Coast,au
Caloundra,-26.80756,153.13439,Caloundra,au
Kirra,-28.16562,153.53526,Gold Coast,au
Mooloolaba,-26.69599,153.13643,Maroochydore,au
Noosa Heads,-26.38322,153.08373,Noosa Heads,au
North Stradbroke Island,-27.45428,153.5311,Point Lookout,au
Snapper Rocks,-28.16244,153.54979,Gold Coast,au
Superbank,-28.16413,153.54694,Gold Coast,au
The Alley,-28.12528,153.48645,Gold Coast,au
Angourie,-29.48318,153.36592,Angourie,au
Avalon,-33.63465,151.33304,Sydney,au
Black Rock,-35.17635,150.68922,Jervis Bay Territory,au
Bondi,-33.8912,151.27663,Sydney,au
Broken Head,-28.70435,153.61503,Broken Head,au
Cabarita,-28.33327,153.57258,Bogangar,au
Cronulla,-34.05586,151.155,Sydney,au
Curl Curl,-33.76982,151.29549,Sydney,au
Dee Why Point,-33.754903,151.297667,Sydney,au
Duranbah,-28.16704,153.55172,Tweed Heads,au
Golf Course Reef,-35.34583,150.47561,Shoalhaven City Council,au
Green Island,-35.27237,150.51537,Cunjurong Point,au
Lennox Head,-28.79941,153.59557,Lennox Head,au
Manly,-33.79411,151.28781,Manly,au
Maroubra,-33.94874,151.25689,Sydney,au
Merimbula Bar,-36.89486,149.92016,Merimbula,au
Moruya Breakwall,-35.9041,150.15062,Moruya,au
Newport,-33.65133,151.32411,Sydney,au
North Narrabeen,-33.70603,151.30506,Sydney,au
North Wall Ballina,-28.8709,153.5905,Ballina Shire Council,au
Pambula Rivermouth,-36.94563,149.91464,Pambula Beach,au
Pippies,-29.44012,153.3688,Lovers Point,au
Sandon Point,-34.33081,150.92934,Wollongong City Council,au
